Make,Model,Year,MaintenanceCostYearly
bmw, x3,2017,607.2
skoda, karoq,2018,359.07
toyota, hilux,2015,655.78
audi, rs4,2015,859.98
bmw, 5 series,2004,1264.16
vauxhall, corsa,2020,500.82
volkswagen, arteon,2018,435.84
mercedes, e class,2012,999.23
vauxhall, antara,2012,585.68
vauxhall, corsa,2017,388.35
ford, ka+,2008,508.79
mercedes, b class,2010,1147.56
mercedes, cls class,2015,638.4
toyota, gt86,2020,327.5
audi, a8,2016,641.77
audi, a4,2007,1041.26
toyota, prius,2017,489.44
volkswagen, caravelle,2012,619.87
mercedes, c class,2010,1212.81
skoda, superb,2014,593.0
skoda, rapid,2015,512.13
bmw, 7 series,2013,976.48
ford, c-max,2017,515.01
toyota, c-hr,2020,312.09
vauxhall, vivaro,2016,492.88
audi, s3,2017,808.16
bmw, z4,2015,668.58
mercedes, s class,2016,595.98
audi, a3,2005,1204.16
hyundai, i10,2018,556.2
skoda, roomster,2007,698.64
ford, fiesta,2060,372.34
volkswagen, tiguan,2014,682.51
volkswagen, scirocco,2017,598.16
audi, q3,2019,730.81
audi, tt,2013,907.63
audi, r8,2007,928.06
hyundai, santa fe,2013,621.69
volkswagen, beetle,2009,826.69
ford, focus,2009,704.27
mercedes, a class,2010,1185.75
audi, a5,2018,519.65
audi, rs5,2015,636.71
hyundai, santa fe,2020,458.44
volkswagen, passat,2020,536.84
ford, ka+,2009,863.61
volkswagen, beetle,2013,502.83
audi, a5,2011,802.49
volkswagen, passat,2010,657.36
toyota, land cruiser,2014,622.41
audi, q7,2008,739.16
ford, ecosport,2017,469.84
ford, kuga,2015,426.93
mercedes, m class,2011,1079.4
audi, rs3,2015,536.98
mercedes, clk,2004,1284.85
vauxhall, cascada,2015,605.38
bmw, 6 series,2008,1019.13
skoda, octavia,2007,836.7
bmw, i3,2014,621.04
volkswagen, golf,2011,447.06
bmw, 5 series,2010,797.97
ford, mustang,2016,518.95
vauxhall, zafira,2003,812.16
audi, a3,2014,579.12
audi, a6,2010,913.84
bmw, 2 series,2017,827.47
bmw, 6 series,2010,1081.91
audi, a6,2019,534.24
bmw, z4,2008,954.72
hyundai, tucson,2007,591.42
volkswagen, california,2019,343.18
audi, q2,2019,495.73
mercedes, sl class,2019,565.87
bmw, 3 series,2002,1420.43
skoda, octavia,2016,526.28
audi, tt,2011,888.31
mercedes, a class,2016,943.73
skoda, citigo,2013,567.94
volkswagen, beetle,2014,555.01
ford, focus,2019,393.52
mercedes, a class,2012,803.31
vauxhall, corsa,2012,552.92
volkswagen, polo,2015,600.09
vauxhall, mokka x,2019,526.81
audi, a1,2018,579.16
bmw, 2 series,2020,612.91
ford, grand tourneo connect,2020,336.63
toyota, avensis,2016,516.28
hyundai, i30,2020,364.64
toyota, avensis,2007,521.51
vauxhall, zafira,2019,368.89
vauxhall, meriva,2011,773.42
bmw, m5,2015,849.47
bmw, m6,2006,1394.36
ford, mondeo,2018,550.94
ford, s-max,2009,760.47
bmw, 8 series,2019,779.88
mercedes, slk,2006,956.49
skoda, fabia,2005,620.23
volkswagen, polo,2019,375.23
audi, a3,2012,872.11
ford, fusion,2011,748.12
skoda, octavia,2005,777.15
hyundai, i10,2017,354.15
audi, rs6,2016,595.43
ford, ka+,2006,765.33
mercedes, gls class,2019,677.82
bmw, x1,2019,646.38
ford, kuga,2018,339.69
toyota, verso,2018,523.09
vauxhall, crossland x,2018,354.58
audi, a4,2009,783.83
audi, sq7,2016,644.02
skoda, karoq,2017,547.61
audi, tt,2010,657.17
audi, sq5,2014,672.3
ford, edge,2019,358.69
toyota, auris,2015,657.42
volkswagen, jetta,2013,415.15
bmw, 6 series,2017,883.1
volkswagen, golf,2014,463.76
toyota, gt86,2015,437.35
volkswagen, polo,2010,506.07
ford, s-max,2014,647.2
ford, fiesta,1998,759.63
mercedes, gle class,2015,676.33
mercedes, v class,2015,757.35
volkswagen, caddy life,2019,489.14
ford, s-max,2013,480.91
toyota, rav4,2014,397.24
toyota, land cruiser,2019,439.01
volkswagen, cc,2013,461.79
bmw, 1 series,2007,1337.14
ford, ka+,2010,751.92
ford, streetka,2006,872.31
skoda, octavia,2010,745.34
audi, a4,2008,892.09
ford, s-max,2008,573.2
toyota, yaris,2014,695.93
hyundai, i40,2019,485.84
vauxhall, zafira,2016,605.07
audi, q3,2013,739.36
bmw, 5 series,2006,1235.58
ford, fusion,2004,943.02
ford, transit tourneo,2014,399.45
hyundai, ix20,2018,445.16
mercedes, sl class,2000,1276.87
skoda, yeti,2010,623.18
volkswagen, arteon,2017,607.47
mercedes, g class,2016,672.09
mercedes, cls class,2007,1172.32
audi, tt,2016,595.51
bmw, 4 series,2018,603.7
vauxhall, agila,2003,776.83
volkswagen, tiguan,2009,538.27
hyundai, tucson,2016,422.46
toyota, avensis,2015,535.57
mercedes, s class,2005,1294.21
volkswagen, touran,2004,598.71
volkswagen, cc,2017,581.65
audi, tt,2015,677.98
audi, sq7,2017,677.13
audi, r8,2015,572.33
ford, galaxy,2010,593.61
audi, sq5,2020,485.67
mercedes, s class,1998,1516.0
vauxhall, agila,2014,537.08
ford, mondeo,2014,438.19
audi, tt,2017,801.3
hyundai, ix20,2013,747.65
mercedes, cl class,2014,1050.22
volkswagen, t-cross,2020,511.32
bmw, 1 series,2006,816.09
hyundai, ix35,2012,753.64
volkswagen, scirocco,2010,596.97
audi, rs3,2016,768.84
bmw, x7,2019,846.73
ford, c-max,2013,647.98
mercedes, cla class,2019,598.07
audi, a6,2006,915.87
ford, ka+,2007,533.26
toyota, c-hr,2016,408.8
bmw, z4,2014,947.11
volkswagen, tiguan allspace,2019,456.61
vauxhall, grandland x,2020,424.68
vauxhall, insignia,2016,392.01
bmw, 2 series,2018,764.08
ford, b-max,2017,569.55
mercedes, gls class,2017,639.57
toyota, aygo,2010,754.57
audi, tt,2020,450.9
ford, escort,1996,1184.28
vauxhall, zafira,2002,862.07
mercedes, g class,2017,714.31
toyota, prius,2012,464.33
hyundai, i10,2008,912.61
skoda, fabia,2016,375.98
vauxhall, zafira,2013,431.91
toyota, prius,2008,889.02
ford, fiesta,2012,495.68
mercedes, cls class,2018,749.25
mercedes, b class,2007,923.61
skoda, scala,2020,349.24
volkswagen, golf,2020,486.31
volkswagen, shuttle,2019,402.2
audi, s5,2013,720.01
ford, c-max,2019,374.96
ford, ecosport,2014,442.65
mercedes, b class,2013,961.05
bmw, z4,2004,1120.5
vauxhall, agila,2009,877.55
volkswagen, caddy life,2013,635.18
mercedes, sl class,2010,808.42
toyota, land cruiser,2017,385.31
volkswagen, scirocco,2015,454.31
audi, s5,2011,736.46
bmw, x3,2012,773.53
bmw, 4 series,2020,817.54
bmw, x3,2011,731.54
ford, grand tourneo connect,2014,395.42
audi, a8,2013,572.37
mercedes, glc class,2020,516.86
vauxhall, astra,2010,577.63
vauxhall, adam,2016,517.12
ford, ka+,2019,509.34
volkswagen, jetta,2012,700.37
bmw, x1,2012,766.44
mercedes, a class,2006,965.58
